epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,417.842,2.76432,3.07911,1.26205,0.16986,0.26451,0.2033,0.0827,2.08807,2.04085,1.04104,0.000552082,0.000552082,0.000552082
2,817.199,2.64147,2.39577,1.20941,0.20753,0.3184,0.25727,0.10693,2.03726,1.85917,1.03323,0.00108581,0.00108581,0.00108581
